TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,MS
TIME:1559,CPU,2,1024,2,76908,100,1,100
TIME:1559,CPU,2,1024,3,12737404,100,1,10459
TIME:1577,CPU,2,1024,2,76908,100,2,57
TIME:1577,CPU,2,1024,3,12737404,100,2,5565
TIME:1599,CPU,2,1024,2,76908,100,3,40
TIME:1599,CPU,2,1024,3,12737404,100,3,3713
TIME:1625,CPU,2,1024,2,76908,100,4,31
TIME:1625,CPU,2,1024,3,12737404,100,4,2836
TIME:1655,CPU,2,1024,2,76908,100,8,17
TIME:1655,CPU,2,1024,3,12737404,100,8,1598
TIME:1701,CPU,2,1024,2,76908,100,12,12
TIME:1701,CPU,2,1024,3,12737404,100,12,1132
TIME:1763,CPU,2,1024,2,76908,100,16,9
TIME:1763,CPU,2,1024,3,12737404,100,16,861
TIME:1841,CPU,2,1024,2,76908,100,20,9
TIME:1841,CPU,2,1024,3,12737404,100,20,705
TIME:1935,CPU,2,1024,2,76908,100,24,9
TIME:1935,CPU,2,1024,3,12737404,100,24,739
TIME:2045,CPU,2,1024,2,76908,100,28,8
TIME:2045,CPU,2,1024,3,12737404,100,28,602
TIME:2171,CPU,2,1024,2,76908,100,32,8
TIME:2171,CPU,2,1024,3,12737404,100,32,599
TIME:2313,CPU,2,1024,2,76908,100,36,8
TIME:2313,CPU,2,1024,3,12737404,100,36,585
TIME:2471,CPU,2,1024,2,76908,100,40,8
TIME:2471,CPU,2,1024,3,12737404,100,40,560
TIME:2645,CPU,2,1024,2,76908,100,44,8
TIME:2645,CPU,2,1024,3,12737404,100,44,562
TIME:2835,CPU,2,1024,2,76908,100,48,8
TIME:2835,CPU,2,1024,3,12737404,100,48,552
