TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:78,AVX2,m1,1024,2,76908,104,1,75629,75
TIME:78,AVX2,m1,1024,3,12737404,104,1,7151103,7158
TIME:96,AVX2,m1,1024,2,76908,104,2,79685,39
TIME:96,AVX2,m1,1024,3,12737404,104,2,7039267,3523
TIME:118,AVX2,m1,1024,2,76908,104,3,87030,29
TIME:118,AVX2,m1,1024,3,12737404,104,3,8180184,2729
TIME:144,AVX2,m1,1024,2,76908,104,4,86329,21
TIME:144,AVX2,m1,1024,3,12737404,104,4,7795875,1951
TIME:174,AVX2,m1,1024,2,76908,104,8,87731,11
TIME:174,AVX2,m1,1024,3,12737404,104,8,8555508,1071
TIME:220,AVX2,m1,1024,2,76908,104,12,86175,7
TIME:220,AVX2,m1,1024,3,12737404,104,12,9073092,758
TIME:282,AVX2,m1,1024,2,76908,104,16,89778,7
TIME:282,AVX2,m1,1024,3,12737404,104,16,9236096,579
TIME:360,AVX2,m1,1024,2,76908,104,20,104792,5
TIME:360,AVX2,m1,1024,3,12737404,104,20,10137126,510
TIME:454,AVX2,m1,1024,2,76908,104,24,115349,5
TIME:454,AVX2,m1,1024,3,12737404,104,24,11572162,484
TIME:564,AVX2,m1,1024,2,76908,104,28,90213,4
TIME:564,AVX2,m1,1024,3,12737404,104,28,13222478,476
TIME:690,AVX2,m1,1024,2,76908,104,32,108998,4
TIME:690,AVX2,m1,1024,3,12737404,104,32,14582781,463
TIME:832,AVX2,m1,1024,2,76908,104,36,106174,4
TIME:832,AVX2,m1,1024,3,12737404,104,36,13504716,380
TIME:990,AVX2,m1,1024,2,76908,104,40,111890,5
TIME:990,AVX2,m1,1024,3,12737404,104,40,14626581,406
TIME:1164,AVX2,m1,1024,2,76908,104,44,116216,5
TIME:1164,AVX2,m1,1024,3,12737404,104,44,15047996,375
TIME:1354,AVX2,m1,1024,2,76908,104,48,102313,4
TIME:1354,AVX2,m1,1024,3,12737404,104,48,16188755,358
