TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:1928,AVX2,m2,2048,2,76908,104,8,183651,23
TIME:1928,AVX2,m2,2048,3,12737404,104,8,18103156,2266
TIME:1928,AVX2,m2,2048,4,1043807448,104,8,1699429931,212665
TIME:1982,AVX2,m2,2048,2,76908,104,16,190289,13
TIME:1982,AVX2,m2,2048,3,12737404,104,16,19455790,1218
TIME:1982,AVX2,m2,2048,4,1043807448,104,16,1754873451,109810
TIME:2076,AVX2,m2,2048,2,76908,104,24,205835,12
TIME:2076,AVX2,m2,2048,3,12737404,104,24,25039540,1046
TIME:2076,AVX2,m2,2048,4,1043807448,104,24,1751776560,73086
TIME:2210,AVX2,m2,2048,2,76908,104,32,226087,9
TIME:2210,AVX2,m2,2048,3,12737404,104,32,25071591,789
TIME:2210,AVX2,m2,2048,4,1043807448,104,32,2276986315,71268
TIME:2384,AVX2,m2,2048,2,76908,104,40,256823,12
TIME:2384,AVX2,m2,2048,3,12737404,104,40,30121836,783
TIME:2384,AVX2,m2,2048,4,1043807448,104,40,2773661532,69446
TIME:2598,AVX2,m2,2048,2,76908,104,48,221645,9
TIME:2598,AVX2,m2,2048,3,12737404,104,48,33884013,743
TIME:2598,AVX2,m2,2048,4,1043807448,104,48,3259125744,68034
