TIME:PID,IMPL,METHOD,WIDTH,LENGTH,PATHS,PERMS,THREADS,CYCLES,MS
TIME:1136,CPU-OMP,m2,1024,2,76908,100,1,711626,712
TIME:1136,CPU-OMP,m2,1024,3,12737404,100,1,76637308,76714
TIME:1150,CPU-OMP,m2,1024,2,76908,100,2,705848,706
TIME:1150,CPU-OMP,m2,1024,3,12737404,100,2,86253241,45400
TIME:1166,CPU-OMP,m2,1024,2,76908,100,3,729991,730
TIME:1166,CPU-OMP,m2,1024,3,12737404,100,3,95344633,34905
TIME:1183,CPU-OMP,m2,1024,2,76908,100,4,705573,706
TIME:1183,CPU-OMP,m2,1024,3,12737404,100,4,97061940,27631
TIME:1201,CPU-OMP,m2,1024,2,76908,100,8,712631,713
TIME:1201,CPU-OMP,m2,1024,3,12737404,100,8,140109789,21440
TIME:1223,CPU-OMP,m2,1024,2,76908,100,12,709179,709
TIME:1223,CPU-OMP,m2,1024,3,12737404,100,12,183985163,19475
TIME:1249,CPU-OMP,m2,1024,2,76908,100,16,748262,748
TIME:1249,CPU-OMP,m2,1024,3,12737404,100,16,199677371,16732
TIME:1279,CPU-OMP,m2,1024,2,76908,100,20,714270,714
TIME:1279,CPU-OMP,m2,1024,3,12737404,100,20,257695647,17235
TIME:1313,CPU-OMP,m2,1024,2,76908,100,24,745197,745
TIME:1313,CPU-OMP,m2,1024,3,12737404,100,24,285643463,16300
TIME:1351,CPU-OMP,m2,1024,2,76908,100,28,754205,754
TIME:1351,CPU-OMP,m2,1024,3,12737404,100,28,332732693,16292
TIME:1393,CPU-OMP,m2,1024,2,76908,100,32,722487,723
TIME:1393,CPU-OMP,m2,1024,3,12737404,100,32,319065733,14442
TIME:1439,CPU-OMP,m2,1024,2,76908,100,36,723213,723
TIME:1439,CPU-OMP,m2,1024,3,12737404,100,36,442700546,16618
TIME:1489,CPU-OMP,m2,1024,2,76908,100,40,746181,746
TIME:1489,CPU-OMP,m2,1024,3,12737404,100,40,464432527,16115
TIME:1543,CPU-OMP,m2,1024,2,76908,100,44,741460,742
TIME:1543,CPU-OMP,m2,1024,3,12737404,100,44,518272191,16164
TIME:1601,CPU-OMP,m2,1024,2,76908,100,48,750676,751
TIME:1601,CPU-OMP,m2,1024,3,12737404,100,48,565646220,16179
